,d1,d2,r1,t1,d3,d4,d5,d6,d7,d8,d9
96,0.660165816,0.804293716,0.17530587,0.698276202,0.892261451,1.129199166,0.662727472,-1.309337504,-1.34100403,-1.481793228,0.33619629
97,-0.721496146,0.593102285,0.357774706,-0.455746784,-0.683999286,-0.001295213,-0.104243893,-0.884117833,-1.275457425,-0.158294179,1.426255578
98,1.442212727,1.15158812,-2.299457386,0.044419474,1.860816784,1.41872521,1.060572098,0.932632003,0.46055061,-1.190172421,-0.895411076
99,0.11209023,0.735446533,0.085604854,0.060332558,0.39075167,0.560655145,0.5463475,0.302806209,0.126232301,-0.391249318,-0.769695171
100,1.417079627,0.158388119,0.745210111,0.250381072,0.9094259,1.241396339,0.810727731,0.987315612,0.544452807,-1.133497383,-0.758955143
101,0.983811308,-0.876094796,-0.859660304,0.056542154,0.899909167,0.713087423,0.704399573,-1.380465293,-1.774978587,0.253139625,1.308676063
102,1.225890819,-0.378344249,-0.360892054,0.535953339,0.580647593,1.300524109,1.325163674,-1.699779419,-1.716842822,0.3958697,1.374907165
103,0.663330983,1.772079623,-0.798365102,-0.944338927,1.11664894,0.833115317,0.316541528,-0.956868621,-0.828497858,-1.920200104,-0.125612034
104,0.9387812,-0.004056011,-0.33409836,-1.291857551,1.070678731,1.406630914,1.377216818,0.125067777,0.69127038,0.176952857,-0.580684411
105,-0.428337565,1.695744334,-0.324237903,-1.071228849,-0.734719013,-0.886869678,-1.28154635,-0.313266233,0.058059404,-1.311551948,1.268283879
106,1.650752353,0.169667253,-2.100229158,-0.111129913,1.247608882,0.37290086,0.651981379,-0.789430469,-0.737736648,1.208339104,0.762534438
107,0.623743679,-0.580055743,-1.742331913,1.665874926,0.77503102,0.556828754,0.224568133,-1.877624301,-1.672514865,-0.893409653,1.380141254
108,-0.839746682,0.018012965,1.026067825,0.077478457,-1.244093507,-1.781050671,-1.822137107,1.179581674,0.936920374,-0.387894149,-1.404385238
