,total
495,-0.834181637
496,-0.114300092
497,-0.626364112
498,2.122293425
499,-0.470233913
500,-1.097492522
501,-0.35742086
502,-0.85550001
503,-0.652858762
504,2.807503139
505,-0.942596586
506,-0.743941714
507,0.32506554
508,-0.383975119
509,1.829055025
510,-0.349315265
511,-0.973855988
512,0.006330123
513,0.749057653
514,-0.282791783
515,-0.325879762
516,-0.590067738
517,3.038117161
518,1.15025358
519,-0.942547185
520,-0.917645016
521,0.043387921
522,0.330999448
523,0.811026291
524,0.280921196
525,-1.039178695
526,-0.286175402
527,2.0766005
528,-1.016645016
529,0.559990766
530,-0.994162669
531,1.658417267
532,0.944769786
533,-0.196336376
534,-0.697528336
535,-0.279457151
536,-0.860784976
537,1.119567543
538,-1.045624632
539,-1.038496831
540,-0.427791391
541,-1.105261498
542,0.545611844
543,0.024377329
544,0.770247368
545,-1.083896212
546,-0.842342142
547,-0.074100297
548,0.944554034
549,-1.019266972
550,1.278828963
551,-0.919081725
552,-0.974905746
553,0.34436966
554,0.024802329
555,-1.023313253
556,-0.13457809
557,0.102445684
558,-0.950806329
559,0.402554165
560,0.936149426
561,-0.665355065
562,-0.386075481
563,1.537163506
564,1.882584235
565,0.863873908
566,1.56079554
567,1.166254588
568,-0.322454088
569,3.251293494
570,1.145245422
571,0.758733205
572,0.343039176
573,-0.929626001
574,0.225187622
575,-0.944744333
576,0.212316411
577,-0.01358089
578,-1.058109588
579,-1.029760754
580,0.679126141
581,1.306268194
582,0.686546293
583,-1.001747367
584,-1.060894776
585,-0.370669991
586,-0.868129613
587,-0.211585663
588,1.479605837
589,-0.697260256
590,-0.647825148
591,1.37902309
592,-1.024240202
593,1.562798585
594,0.117288078
595,0.263962446
596,-1.10145287
597,-1.100610324
598,-0.3772391
599,0.799464275
600,0.335128559
601,0.132419499
602,-0.431881836
603,-0.832466664
604,-0.776642443
605,-0.39774441
606,-0.557262101
607,0.734615454
608,-0.756733948
609,0.418510651
610,0.813522733
611,-1.008282538
612,-0.847820108
613,0.966622414
614,-0.015937032
615,-0.210743251
616,-1.066775565
617,1.310761323
618,1.845149066
619,1.343849943
620,-0.972417817
621,-0.547267624
622,2.086172284
623,-0.175405832
624,-0.814284395
625,-0.672798549
626,-0.976094928
627,0.92730329
628,2.338100378
629,-0.491292612
630,-0.03419095
631,1.949953336
632,-0.094621254
633,-0.893473075
634,0.868031832
635,-0.802095971
636,-0.118421274
637,1.232896283
638,-0.473233428
639,-0.151564562
640,-0.466338089
641,-0.612677284
642,-1.095836069
643,0.140125193
644,-0.329411102
645,-0.8643102
646,1.423431547
647,0.317644334
648,1.462186577
649,0.779918944
650,-0.529543967
651,-0.400059659
652,-0.910522462
653,-0.178253786
654,-0.221549003
655,-1.067851348
656,-1.105026388
657,0.703663269
658,0.884023628
659,0.367869687
660,1.940027953
661,-0.600218712
662,-1.011400904
663,0.066215559
664,0.704487898
665,-0.453731722
666,-0.959314603
667,0.074171062
668,1.001305139
669,1.100819425
670,0.742015752
671,-0.682438556
672,-1.094393309
673,0.010432095
674,-0.660150706
675,0.118039365
676,-1.096471307
677,-1.080535029
678,0.503702612
679,-0.447188632
680,1.871157156
681,0.505786647
682,-0.841060978
683,-1.105073234
684,-0.441878511
685,-1.024730528
686,-0.553720198
687,-0.350441912
688,1.394307689
689,-0.937339364
690,-1.089340097
691,0.684430752
692,-1.060937365
693,0.543365983
694,-0.299272315
695,0.362969107
696,2.02958088
697,0.418772141
698,-0.002397218
699,1.337738392
700,0.469372522
701,1.097979861
702,-0.864612378
703,1.486359931
704,0.747405258
705,0.222555043
706,-0.752044231
707,-0.801086754
708,-0.773431762
709,-0.370219709
710,-0.682829488
711,-0.865885542
712,-0.433974339
713,-1.062556772
714,-0.931774485
715,-0.942812
716,-0.467700279
717,1.028349915
718,0.634340733
719,-0.918247049
720,-0.391208789
721,-1.095133127
722,-0.362780685
723,0.965458928
724,0.029068131
725,-0.998320419
726,2.365234272
727,-1.097649544
728,-0.444879593
