,N
98,1.185914919643084
99,-0.7199185409480543
100,1.0392343068936454
101,-1.4411006503143344
102,-0.9134663915145271
103,-1.1905072042209923
104,1.1923419983454906
105,-0.440349009076301
106,1.0118431735095466
107,-1.0439085499620144
108,-1.4623358318846316
109,-1.4241066204492383
110,1.2833273500865965
111,-1.0716676007371955
112,-1.5705998457223105
113,0.6367533056561803
114,0.8906125266609954
115,-1.5712332349874596
116,1.661089971976977
117,0.6582498580444491
118,-0.21180632104509506
119,0.6679855559936215
120,0.4308563558316365
121,1.151412578877747
122,-0.9077666036401075
123,0.10502466205795144
124,-1.6116814117891067
125,1.2729556332594318
126,1.0945731833123535
127,0.6794972955882567
128,-0.6587655670416984
129,1.5695556637294044
130,1.2468861841145633
131,-1.3564225807748946
132,1.4271169090934122
133,0.8932585796770529
134,0.011862980832588632
135,-1.3769352913448545
136,-0.9981554546195975
137,-0.38861626945064065
138,0.3164292341295881
139,0.1407022747568463
140,0.12058023611911024
141,0.056125702158998377
142,-0.3965545274518469
143,-0.21795316009939875
144,-1.6804355716425776
145,0.4357780573754786
146,-1.101725703014712
147,0.9618788507906473
148,-0.4935896527717606
149,-0.8486459385489531
150,0.6776568459952236
151,-1.0809521350184024
152,1.5282177638101662
153,-0.14618812059605119
154,-0.08815788766848154
155,0.8472263059287162
156,0.9308532330140622
157,1.6883121750702197
158,-0.2452610981965305
159,-0.6881800431648214
160,-0.6545254463106932
161,0.33351903027505503
162,-0.41803389297872784
163,-1.3183992233146056
164,1.4549874058974408
165,0.2819809606033821
166,1.534748179747761
167,0.8752915888692353
168,-0.5270925709233457
169,0.9460088750016867
170,0.27914136197263073
171,1.0982022543918184
172,1.1509296158956965
173,-0.395424854473211
174,0.555461504856803
175,-0.026479781886548658
176,-1.2861087492111474
177,-0.62657093209461
178,0.7849656275485324
179,-0.1446444139216687
180,0.6526254141740556
181,0.9747921774530101
182,0.7431747741919871
183,0.0340702215924318
184,0.33179553944258555
185,0.08420199053951237
186,1.012885072120476
187,0.6528469176296501
188,-1.280749327874916
189,-0.6730453366123331
190,0.43779419423817173
191,0.08126072779475
192,0.4505610825178267
193,0.7005363589978141
194,-1.0524103741284168
195,-0.19322075945668252
196,-0.6851716034173593
197,0.6471323380229197
198,0.6302649808466692
199,1.4998755776850112
200,-1.4776061706828842
201,-1.3284362819130586
202,-0.5848425560537395
203,-1.068895004951805
204,-1.2906114908279787
205,1.4528759344224342
206,1.01277975815292
207,0.30592123266512883
208,-0.11364317514579317
209,0.14584430209876617
210,0.6931967144637012
211,1.5469578735062688
212,-0.11515162729898396
213,-0.7959811526152917
214,-1.1650012069214613
215,0.15707872081054722
216,-1.116077459636808
217,0.9727908977480448
218,-1.602645853119622
219,-1.5284866210071935
220,0.6464666541895725
221,1.7069536460540056
222,-1.5818327926881588
223,0.019739173162740396
224,0.44030601012982495
225,-1.5377173157343786
226,-1.233303825758304
227,0.5257766422465986
228,-0.23129092961816303
229,-0.9873824485489375
230,1.1791480152681306
231,-1.187202180345395
232,1.4114241383972337
233,0.22794071492818532
234,-0.719020353807054
235,1.5866860497108106
236,1.7079854933650158
237,0.9441071886147755
238,1.2793545673907423
239,0.8239436047157052
240,-1.4883897623998454
241,-1.4285282745951358
242,0.6610906296761037
243,-0.9025376135781884
244,-0.26160539173202385
245,-0.5861422689941937
246,0.7806603929273729
247,-1.5967498200753338
248,-1.390889691931922
249,1.2485291583768956
250,0.7401156562885907
251,1.637634719956229
252,-0.20155283353544756
253,-0.5886017762167476
254,-0.7582533580878299
255,0.5789674394572685
256,1.1168394692310006
257,0.1830568921846546
258,1.6785749823481615
259,-0.9311149423794444
260,1.699990663332356
261,-1.1200970252315277
262,0.5452180383790877
263,1.2273274767158793
264,1.3430746959161584
265,0.40455614704798415
266,1.2407268141137309
267,1.2477451453416752
268,0.5660566522789968
269,1.649927690259607
270,0.3641385466639066
271,0.787900013406697
272,-1.3094915680768757
273,1.0672135705440302
274,-1.6753460693392965
275,0.4287735257883704
276,-1.124252366728534
277,-1.6151431683759816
278,-1.2693026681771578
279,-1.6284529644076244
280,0.5196212408444946
281,1.3363015214113272
282,1.6208342643439986
283,1.2409046362077818
284,-0.335713384124231
285,0.08572158364014644
286,1.103176835272726
287,-1.1347543222790484
288,0.5339041836642977
289,0.21617532145522436
290,-1.1028225957636606
291,-1.1685473385948626
292,1.485384737102504
293,0.5817188180824151
294,-0.9152578882268726
295,1.382955681216134
296,-1.2320460148874315
297,1.2226778296580212
298,-0.9509845252854698
299,-0.268601088559451
