,total
646,-0.251869714
647,0.059024629
648,-0.277711173
649,0.338522455
650,-1.404613045
651,1.796909069
652,-0.70286199
653,-0.193027594
654,-1.280539232
655,-1.285786449
656,-1.229023854
657,-1.135641939
658,-1.252940061
659,0.130870694
660,-0.715049833
661,-0.816489431
662,1.913086206
663,0.501835305
664,1.10483958
665,1.208883478
666,-0.223367519
667,-0.708460404
668,0.31745388
669,-0.810136864
670,0.929545277
671,0.682576217
672,0.225707189
673,-0.236931805
674,0.703255509
675,-1.081317363
676,-1.136290914
677,-0.082153362
678,-0.937459733
679,-0.082274047
680,0.284680505
681,1.319986524
682,-1.32203982
683,0.809034001
684,-0.129888969
685,-1.315001347
686,1.252943994
687,-0.898389029
688,2.422773092
689,-1.307957957
690,-1.023113172
691,-1.42310386
692,2.311654427
693,1.316386481
694,-0.68795431
695,-0.664369317
696,0.101825681
697,1.048841016
698,0.513768445
699,-0.884122917
700,-0.265935077
701,0.439668656
702,-0.283300208
703,2.009481848
704,0.283765492
705,-0.113207761
706,0.15859967
707,0.609353854
708,-0.630859469
709,1.006108108
710,-0.004905951
711,1.072198575
712,-1.146132092
713,-0.916627767
714,2.678282214
715,0.093778165
716,-0.847350546
717,0.039656564
718,-0.249272589
719,1.201313904
720,1.773667998
721,-0.752777146
722,0.017449072
723,1.421327257
724,-1.324570256
725,1.110980421
726,-0.012866959
727,-0.802789701
728,-0.247244966
729,-0.692206878
730,2.519848977
731,-1.254004071
732,-0.443114743
733,-1.164191478
734,-0.321361518
735,0.712204234
736,-1.164486748
737,1.672488285
738,-0.456185178
739,-1.264602304
740,1.061584749
741,-0.306121288
742,-1.172554948
743,-0.360474306
744,-1.015503032
745,0.589908643
746,-0.244058737
747,-0.261775624
748,0.774885249
749,0.557415684
750,-1.283536183
751,-1.258318551
752,0.347831752
753,-0.716892621
754,0.40314516
755,-1.241253711
756,0.308859007
757,0.243693156
758,0.120611538
759,-0.712381193
760,0.069096335
761,-0.020266471
762,2.468350034
763,-0.39087248
764,1.748502011
765,-0.124046075
766,-1.361910011
767,-1.309290576
768,-0.893413594
769,-0.354692068
770,0.52776115
771,-0.488274394
772,-0.546889795
773,-0.29995115
774,0.311430877
775,0.069587286
776,1.480268736
777,0.202384718
778,-0.858284553
779,-1.221049219
780,0.506513475
781,0.206802783
782,0.488726919
783,-0.699089587
784,-0.263046112
785,0.424052351
786,0.874020746
787,1.13341695
788,-0.845221101
789,-1.407892318
790,1.053016289
791,1.81954985
792,1.321160441
793,0.924959629
794,2.480317258
795,-1.220574831
796,-1.442753982
797,-1.005608431
798,-0.298843031
799,-0.039211969
800,1.077074718
801,0.959164008
802,1.057774259
803,0.585717146
804,-0.651071712
805,0.159316132
806,-1.110972959
807,-0.482166329
808,-0.501028646
809,-0.645537096
810,0.547703967
811,2.771445273
812,-0.717456235
813,0.087519778
814,1.148620457
815,0.633985076
816,0.858861422
817,-1.262312573
818,1.992198865
819,1.552990496
820,-0.981309815
821,1.101905461
822,-0.070744634
823,-0.186580604
824,2.189650848
825,-1.212229611
826,-0.268853556
827,-0.317075717
828,-0.362355538
829,1.740258186
830,-0.736559291
831,0.350484551
832,-1.316512971
833,-0.818647702
834,-0.279559507
835,-0.407434259
836,1.20741107
837,-0.74160082
838,1.015051658
839,-0.867597451
840,0.858578861
841,-0.270584455
842,1.137055193
843,-1.359750841
844,1.473571559
845,0.394979311
846,-0.926001884
847,0.101451627
848,1.843309295
849,2.170001919
850,0.937352873
851,-1.347420011
852,-0.819053495
853,0.631995047
854,-0.704079699
855,2.345896943
856,-1.119953292
857,0.505993875
858,0.976590468
859,1.009428971
860,-0.388754427
861,-1.04836228
862,-1.355231059
863,-1.275962775
864,1.357586862
865,0.169303652
866,-0.163635399
867,-1.18765759
868,-0.028802348
869,0.985328268
870,1.328690177
871,1.427775356
872,1.217404592
873,-0.76263146
874,1.120606539
875,-0.707016249
876,0.201559057
877,-0.830688711
878,-0.612923355
879,-1.006385315
880,-0.70349747
881,-1.014231955
882,-0.346874754
883,2.498924075
884,1.712593535
885,1.07351631
886,0.072802927
887,-0.449696785
888,-1.223226522
889,-0.449741953
890,-1.145074992
891,0.808293012
892,0.581533578
893,-0.872160474
894,-0.375723166
895,-1.109267641
896,-0.058125498
897,-1.282923457
898,-0.767288849
899,-0.450274302
900,-1.445691888
901,-0.918877722
902,-0.70513717
903,-1.057579657
904,-0.04360358
905,1.109132217
906,-0.76471635
907,0.360165623
908,-1.185077458
909,-1.350470439
910,-0.566611431
911,0.249309298
912,0.016444927
913,0.045296999
914,-0.462489957
915,0.160993318
916,0.361268756
917,1.660382319
918,-1.089298542
919,-1.368364402
920,-0.878585815
921,0.02182071
922,2.432035078
923,-1.295451026
924,-0.247871041
925,0.496532692
926,-0.498075606
927,-0.558630751
928,-0.148240261
929,-0.499412305
930,-1.380393722
931,-0.850738427
932,1.292083144
933,0.850341093
934,-1.194229788
935,0.395636487
936,-0.960837429
937,0.606184581
938,-0.477491285
939,-1.057616547
940,0.017939316
941,-0.039228517
942,-0.148022814
943,0.97657783
944,1.014286041
945,-0.775922795
946,-0.312690765
947,-0.470477688
948,2.338959509
949,-0.703528788
950,-0.681469793
951,0.061259202
952,-1.269582125
