,d1,d2,r1,t1,d3
83,-0.499570039,0.941475457,0.876780193,-0.568188081,-0.448478157
84,0.959981096,0.227097371,-0.637398578,1.241610826,0.828270028
85,-0.792143028,-1.56485981,0.045452965,0.347117658,-0.787132439
86,0.254033381,2.307297899,1.027424544,-1.169428966,0.362860947
87,1.637718407,2.251086319,-0.312676023,-1.10151717,1.438731737
88,-1.333842174,-1.438102291,0.622596897,0.334310852,-1.231567881
89,-1.11100987,-1.707088624,0.911831565,1.446206625,-0.857952091
90,1.489295119,0.967206258,0.708797595,-1.533750652,1.721275668
91,1.524832674,0.118868355,-2.156014365,0.397527517,1.432309109
92,0.773394726,0.558605375,0.737226485,-1.268135167,0.950830263
93,0.534426078,-0.036964764,-1.174928878,-0.017388086,0.678465323
94,-1.249458002,-0.981297041,1.09256833,-0.50484943,-1.166644396
95,1.05942405,-0.192695346,-1.294328214,0.515204827,1.290523984
96,1.275809952,0.701913992,-2.46926927,-1.345134797,1.361016725
97,-1.03576008,-0.5966417,1.118111052,-0.050603825,-1.007893751
98,0.375337455,1.34849505,-1.148149646,-0.728630561,0.258906279
99,-0.456244826,2.231848385,0.983767219,-1.269753956,-0.578776694
100,-1.357439041,-0.21124104,1.053370079,-0.889920525,-1.464343785
101,1.451309522,0.868720539,-0.276546479,0.785097371,1.178707796
102,0.901201654,0.453646717,-0.632637733,1.452949203,0.981468832
103,1.169592806,-0.898194816,-2.005370148,0.130922469,1.156962305
104,1.73204367,-0.508414605,-1.60197495,-0.087864618,1.5690799
105,-0.133532414,-0.380243134,-0.560241367,0.000624964,-0.032721118
106,-0.684347657,-1.747499263,0.491634018,1.706709418,-0.497691404
107,-0.541459246,0.133033285,0.448441957,0.993684227,-0.489626722
108,1.733842146,1.989491334,0.892585596,-0.911563153,1.970948748
109,-1.579832745,-1.55054109,1.033679321,1.271169618,-1.371329508
110,-1.223327574,-1.532819626,0.445428788,1.520129173,-1.019090596
111,-0.932855792,-1.190066848,0.705133065,0.537477199,-1.060742879
112,1.312877507,-1.360312289,-1.64908168,1.715365502,1.184386691
113,-0.573858268,0.807742623,-0.148207327,-1.137321489,-0.583895861
114,1.146682271,-0.083289069,-2.381329965,-0.085446943,0.933994273
115,0.658207248,1.679859485,-1.43584372,-1.691849666,0.449667303
