,total
673,-0.580328141
674,0.55023172
675,-0.854373009
676,-1.06007377
677,-0.396305835
678,-1.008014956
679,-0.159954329
680,0.128971673
681,1.638506089
682,-1.109100441
683,0.294015373
684,1.238130944
685,-1.096148104
686,2.042550862
687,-0.940229248
688,2.253592772
689,-1.10531364
690,-0.955695361
691,-1.120665127
692,2.130648429
693,1.430113097
694,-0.62596119
695,-0.861916251
696,0.921843514
697,0.580497589
698,0.084822942
699,-0.972468307
700,0.201483045
701,0.87545355
702,-0.560268638
703,2.004090745
704,-0.048954469
705,0.288721564
706,-0.265609817
707,0.507754995
708,-0.865285131
709,0.665562475
710,1.098011307
711,0.642491307
712,-1.057613057
713,-0.549820252
714,2.714300185
715,-0.273098707
716,-0.974473853
717,0.207407445
718,-0.367517976
719,0.899366552
720,2.239680822
721,-0.338600529
722,-0.391754146
723,1.363211837
724,-1.093601315
725,1.733325984
726,0.582433366
727,-0.832625948
728,0.038247606
729,-0.876068916
730,2.398548445
731,-1.084822701
732,0.243024008
733,-1.069156023
734,-0.167423558
735,1.174861565
736,-1.074855765
737,1.382651056
738,-0.74421791
739,-1.076329861
740,0.9891999
741,-0.584525666
742,-1.04752885
743,-0.677892975
744,-0.936338489
745,0.151337916
746,-0.646632818
747,-0.651917437
748,0.649401919
749,0.033859091
750,-1.087129227
751,-1.00766276
752,-0.134006537
753,-0.800338612
754,0.973048257
755,-1.03069532
756,0.103767723
757,-0.058750995
758,1.292079565
759,-0.907485873
760,-0.210644366
761,0.566516627
762,2.537202334
763,0.081144836
764,1.414061434
765,-0.457972277
766,-1.094262128
767,-1.100072554
768,-0.984198069
769,-0.665292315
770,0.476651338
771,-0.436118337
772,-0.341399072
773,-0.678405684
774,0.263128208
775,-0.423276741
776,1.161890435
777,-0.276302079
778,-0.954676503
779,-1.090142699
780,0.137637069
781,0.707103662
782,0.279214088
783,-0.847859044
784,-0.285688502
785,0.586245771
786,1.15072327
787,1.470512655
788,-0.402192523
789,-1.121108414
790,1.722712719
791,1.792916413
792,0.790150031
793,1.594759304
794,2.343701734
795,-1.083696604
796,-1.121007972
797,-1.023940669
798,-0.199994579
799,-0.03806012
800,0.595042712
801,0.425200082
802,1.123450447
803,0.041477113
804,-0.537537726
805,1.17636305
806,-0.963218171
807,-0.803507786
808,-0.753393521
809,-0.503957945
810,0.471548912
811,2.794623219
812,-0.631370007
813,-0.309464884
