,total
251,0.138220975
252,0.93636892
253,-0.802862462
254,-0.208440473
255,-1.069289288
256,-0.160686559
257,2.330225041
258,-1.060617658
259,1.174309054
260,-1.022400058
261,0.442446312
262,-0.656174183
263,0.616277432
264,-0.865399013
265,-0.97427241
266,0.450440408
267,3.142641754
268,-0.347833552
269,-1.093542617
270,0.712354659
271,0.671656871
272,1.160019336
273,-0.872599414
274,-0.199227887
275,-0.999224289
276,-0.646592814
277,-0.11912081
278,1.540505475
279,-0.860555259
280,-0.206018627
281,-0.584718626
282,0.406167011
283,-0.160009184
284,1.594391547
285,-0.310278628
286,2.049514939
287,-0.913065125
288,-0.890613662
289,-0.823835515
290,1.507108987
291,-1.107665875
292,1.662111137
293,0.027498029
294,-0.025938677
295,-0.902571423
296,1.738879655
297,0.836549864
298,2.533899424
299,-0.976535308
300,-0.771891694
301,-0.642563104
302,2.511314787
303,1.68326752
304,0.362295701
305,-0.986416328
306,-0.649619539
307,-0.559998009
308,0.818322274
309,-0.000897502
310,-0.392612329
311,1.025600006
312,-0.532098006
313,-1.098252032
314,1.36776909
315,0.571318678
316,-1.048199952
317,2.646911838
318,-0.776219455
319,1.672083215
320,-0.97251582
321,-0.928030136
322,-0.95466479
323,-0.766042509
324,2.849240321
325,-0.950328432
326,0.31700476
327,-0.684925483
328,-1.076237291
329,-0.53594736
330,0.155502593
331,2.715503255
332,0.277318439
333,-0.787347188
334,-0.698179146
335,-0.55179269
336,-1.067721608
337,-0.028710295
338,-1.111522935
339,-0.760025736
340,0.682327826
341,-0.1103444
342,-0.505469938
343,-0.573985922
344,-0.884112682
345,-0.898861141
346,1.556332655
347,0.355239713
348,2.345729268
349,-0.163950381
350,-0.443762681
351,-0.667599833
352,-0.377408024
353,-0.996736644
354,0.011070346
355,0.083492572
356,0.232375012
357,0.210727306
358,-0.340309599
359,-0.439064147
360,0.045700234
361,0.793095945
362,-1.100636374
363,-0.166067438
364,-1.117012978
365,-0.66978439
366,2.806365388
367,-0.847677531
368,-0.952568685
369,0.115642106
370,-1.09383075
371,-1.079069617
372,1.273587599
373,-0.887331688
374,0.087377145
375,-1.099871366
376,0.93716824
377,0.305075064
378,1.217283748
379,-1.059540244
380,-1.004768655
381,0.205391033
382,0.324084366
383,-0.922905811
384,-1.100514666
385,-1.093874889
386,0.15938522
387,-0.311989352
388,-1.085875753
389,0.294655527
390,-0.720295133
391,3.08174087
392,-1.007133201
393,-0.077186609
394,1.366957157
395,0.04402801
396,0.240371239
397,3.364578384
398,-0.501187022
399,-0.008353694
400,-0.418369922
401,1.134940872
402,-1.004757276
403,-0.239981652
404,-1.113707071
405,0.978245101
406,0.282317134
407,1.745860975
408,0.047459801
409,-1.058300988
410,-0.977416382
411,-0.75041891
412,-0.004324858
413,-0.011464525
414,0.503616681
415,-0.659299197
416,2.543079903
417,-1.116415647
418,-0.386308298
419,-0.977361482
420,0.855738858
421,-0.66723913
422,-1.106718088
423,0.72132282
424,-0.550851994
425,-0.435086115
426,0.50135769
427,0.013888317
428,0.53262502
429,0.603784869
430,0.680414729
431,-0.734456016
432,-0.934188797
433,-0.363509506
434,-1.093857223
435,3.147648717
436,1.731758107
437,3.165138379
438,-0.342239525
439,-0.822492991
440,0.045971568
441,0.940808726
442,-0.237498955
443,0.285543144
444,0.655848259
445,-0.123355456
446,0.681575874
447,2.36776728
448,-0.547280754
449,-1.034371262
450,-0.255007852
451,1.832505569
452,-0.984814155
453,0.980180416
