,N
503,-0.287153682105817
504,-1.1955604966943019
505,-0.6040354487431853
506,-1.6960997864748197
507,1.3404283638505166
508,-1.378795843835633
509,0.6848814824097256
510,-0.8049515887082059
511,0.8870134469706193
512,1.2417454520294622
513,0.8845832948322254
514,-1.1993634201320031
515,-0.9751593481324279
516,-0.6949566357463377
517,-0.7131173192877641
518,-1.7014373756097405
519,-1.6094670342295996
520,-0.9931606194735164
521,-0.8511166070805014
522,-0.25459137323894127
523,0.11058609711001624
524,0.3820807003035221
525,-1.2100138839652843
526,0.4976065629032567
527,-0.9755698492748283
528,1.0358011129509885
529,1.3193827005609795
530,-0.5944872595703808
531,-0.4271313115583272
532,-0.6239707829526856
533,1.1449162914462554
534,1.274275145327031
535,-0.25989464528910117
536,-1.5282187493004573
537,0.657603023402511
538,0.02607293461674356
539,0.6374094991566976
540,1.5316685700082848
541,-0.416557988953185
542,0.819996956255807
543,-0.8816684840758344
544,1.480900786125263
545,0.09768640980340126
546,-0.11448099562529315
547,1.2354666513528438
548,-1.675375692052191
549,1.5245565978211237
550,0.490929087062431
551,-0.17515572313117392
552,1.0525421829170711
553,0.1353583249737357
554,-1.080457041973352
555,0.9738156141993428
556,-1.568298821895123
557,-1.0698584211683866
558,-1.4072576556213712
559,1.5646089623189052
560,1.0944033055754392
561,-1.3042500308394052
562,1.6974126496713782
563,1.483065911723896
564,-1.0263187366692614
565,1.1590905244269565
566,-1.028891556293316
567,1.4038353785635682
568,-0.9838411911359686
569,0.959395928622679
570,1.0182451538699668
571,1.1101482153197884
572,-0.7656680660292376
573,0.7248465734501367
574,0.5292529516144443
575,-1.0322679639081023
576,-1.6968535935671645
577,-0.8739686847472566
578,0.9728032297956594
579,0.643090783649136
580,-0.1671634117737679
581,-1.6024519027303363
582,-1.4011511032955646
583,1.2535363350476194
584,0.7980447746177569
585,-0.3144467185510967
586,0.6755055137102088
587,1.046753465594207
588,1.1042506652872721
589,0.24441592188660527
590,1.225991968709448
591,-0.3177496517980126
592,1.3739269731864254
593,-0.3988032118466025
594,1.7021187919285794
595,0.06884344653974442
596,0.3785696619231659
597,-0.47056379960332184
598,0.14596959411719734
599,-0.5633158726906967
600,1.0366613457666072
601,-0.1626898488064494
602,0.1705652489337887
603,0.3741781038355203
604,-0.3888146898897447
605,1.1079180230250034
606,-1.6781685173018668
607,0.3089067966859652
608,0.23053898471083006
609,0.9190709649943145
610,-1.664881743368764
611,1.0968215272716728
612,-1.5454074286979176
613,-0.4659852343660776
614,1.0729471275687792
615,0.37179614232043645
616,1.410747191731232
617,-1.409107977027268
618,-0.5353882452675667
619,-0.09422303948363625
620,-0.8767155181816673
621,0.8028761654171693
622,1.5550687378050494
623,-0.048582388115579016
624,1.381937226102185
625,-0.07972202972223037
626,0.2501710333853278
627,-1.383279244233606
628,-0.641453219151063
629,-0.6128623509886784
630,0.971867846161345
631,0.055670734030738064
632,0.6939425148456482
633,1.047650807131831
634,0.7239902129031677
635,0.5161451947460196
636,0.9212302016462633
637,0.6256639306513848
638,-0.4794687736597096
639,1.4546005501757633
640,0.37221603056707897
641,-0.9674213071589376
642,1.057448907422473
643,-0.2826754392632501
644,1.336626993211374
645,-1.6668626507852533
646,0.9195297110207207
647,-1.0517525314276657
648,0.902900506208431
649,-0.7954253895324707
650,1.7167482040218758
651,-1.1504307405226342
652,1.3837603425503422
653,-0.34893490425501655
654,1.4673035239814525
655,1.728609725412336
656,0.7963866193684995
657,0.2800353618733298
658,-1.4447469993734239
659,-0.38402131649545623
660,0.9784431807897221
661,-0.5182268159675258
662,1.6194538317616423
663,-1.2004535106382583
664,1.0409385241011473
665,-1.455090547744763
666,0.01059205887946552
667,-0.27480741532853076
668,-1.1224886365694708
669,1.334269608018654
670,-1.5846488480707142
671,-0.6230777575814863
672,1.12859962471796
673,-1.4177187154359094
674,0.8095511177550967
675,0.6490661908163524
676,0.002885965558631088
677,0.8008640864501823
678,-0.7171208207895379
679,-0.7451278177369228
680,-0.11313551330468564
681,-1.5084380256475627
682,-1.0964452180674844
683,0.35769880914775354
684,-0.14232923087286278
685,1.1678960960088292
686,-0.22980810545115393
687,-0.8687856416957603
688,1.1296772605107122
689,-0.8779666462018165
690,1.3039384317181801
691,-0.2862839478546516
692,-0.04077798544514978
693,1.0188034596504378
694,-0.25680579821293265
695,0.14280110275177907
696,-1.5234772565595422
697,1.2846415069493562
698,1.6507239005404677
699,-0.8301140667444138
700,1.3530387928114378
701,-0.7678260461465833
702,-1.501435776826063
703,-1.580018035423531
704,-0.06853490960166837
705,-0.03468444288189065
706,1.0370314766988282
