,total
434,-1.261342251
435,1.727746663
436,1.415146976
437,1.169771876
438,0.015590398
439,-0.708802623
440,-0.57215654
441,0.986829336
442,-0.129400605
443,0.395322867
444,0.004266512
445,-0.201405012
446,0.766581005
447,2.584779387
448,-0.730359168
449,-0.991702175
450,0.181642369
451,2.117944703
452,-0.997052128
453,1.55201778
454,-0.398836532
455,0.192694479
456,-1.145703585
457,0.834431665
458,1.223562581
459,0.133635455
460,-0.832276098
461,1.544544881
462,0.350759963
463,-0.070412014
464,-0.678320401
465,0.245220119
466,0.18619211
467,0.223785829
468,1.886183921
469,2.240986392
470,-0.182453681
471,-1.200034363
472,1.40687583
473,2.253901503
474,-1.352101329
475,-0.479397729
476,0.603259775
477,0.331407806
478,-0.025062674
479,-0.934439729
480,-0.995598886
481,1.21033306
482,-0.893164791
483,0.045268707
484,1.345741112
485,0.060967669
486,-1.055834169
487,-0.510408364
488,1.999737869
489,0.224847307
490,-0.512336583
491,-0.740558726
492,-0.362887052
493,1.154786497
494,-1.306919004
495,0.06028748
496,2.633208018
497,-1.233033505
498,-1.344425497
499,-1.355920704
500,-1.36885413
501,-1.041932796
502,-0.964817405
503,0.383108671
504,-0.885331098
505,0.009917125
506,-1.380245206
507,-0.244625295
508,-0.929554737
509,1.445974976
510,-0.573045482
511,0.386954683
512,1.172370542
513,1.258493133
514,-1.250660905
515,-0.834063703
516,-0.060899323
517,-0.899105881
518,-1.404522541
519,-1.228447764
520,-0.422380902
521,-0.388788874
522,0.190424341
523,-0.084181762
524,0.312677935
525,-1.239760628
526,0.398223009
527,-1.134162519
528,0.664909461
529,1.934141868
530,0.04337119
531,-0.848401719
532,-0.542935183
533,0.574295202
534,1.342332425
535,-0.516345843
536,-1.266449752
537,0.485248586
538,0.838426036
539,1.187382932
540,0.601963015
541,0.053204401
542,0.797413778
543,-0.620942986
544,0.031929826
545,-0.193926383
546,-0.560999231
547,2.430103353
548,-1.354661673
549,0.213385693
550,-0.647698469
551,0.011078374
552,0.136041703
553,0.923526741
554,-1.213208696
555,0.441509839
556,-1.244525221
557,-0.781215591
558,-1.189510718
559,0.821133625
560,1.313951817
561,-1.162623066
562,1.7138912
563,0.594517311
564,-0.954544328
565,1.589001307
566,-0.980275528
567,1.908635651
568,-0.753052155
569,1.952131797
570,0.146624088
571,-0.221636502
572,-0.92603605
573,1.551330098
574,0.334752932
575,-0.914271489
576,-1.366970478
577,-0.800600403
578,0.783762616
579,-0.582208546
580,0.140674481
581,-1.302954382
582,-0.99424736
583,-0.153648744
584,0.155012728
585,0.201348285
586,0.419515453
587,0.617614576
588,1.303689101
589,-0.845151705
590,0.652310181
591,0.065804912
592,0.661507967
593,0.271526538
594,2.150072102
595,0.456851236
596,0.643403781
597,-0.798783801
598,-0.866332722
599,0.008016591
600,0.855902622
601,-0.339638752
602,-0.05592422
603,-0.76167407
604,0.074069927
605,-0.452982154
606,-1.316031857
607,0.172421574
608,0.681855975
609,1.868491275
610,-1.408078827
611,1.992522057
612,-1.182948178
613,-0.749247977
614,1.339098311
615,1.221581989
616,0.40516658
617,-1.06706202
618,-0.539191478
619,-0.191793338
620,-0.828349463
621,-0.368195948
622,-0.078688789
623,-0.182461206
624,1.322848129
625,-0.18300075
626,0.70391529
627,-1.254559616
628,-0.514866521
629,-0.567574086
630,1.233301666
631,0.840502723
632,0.991698635
633,1.042344252
634,1.834551261
635,-0.641943974
636,-0.398800261
637,0.978208033
638,-0.894878975
639,0.733725449
640,0.810387562
641,-0.68410759
642,-0.406484535
643,-0.201940832
644,0.209795799
645,-1.337025273
646,1.051204252
647,-1.092896948
648,1.288193823
649,-0.870227179
650,1.718636164
651,-0.690783634
652,1.660362943
653,0.037158809
654,2.256094831
655,2.629170392
656,0.60629287
657,-0.183341266
