neurons,layers,lr,train_loss,eval_loss,test_loss
140,4,0.001,0.47812172770500183,0.47983232140541077,0.47734543681144714
140,4,0.0005,0.6882156729698181,0.6890957951545715,0.6858906745910645
140,4,0.0003,0.7572264671325684,0.7564354538917542,0.7537766695022583
150,1,0.001,0.06710072606801987,0.06737805157899857,0.06567105650901794
150,1,0.0005,0.21331988275051117,0.21236646175384521,0.2115497589111328
150,1,0.0003,0.41185322403907776,0.4082506597042084,0.40684300661087036
150,2,0.001,0.18389184772968292,0.1831948459148407,0.18325625360012054
150,2,0.0005,0.35015398263931274,0.347322016954422,0.3474249839782715
150,2,0.0003,0.48719969391822815,0.4853341579437256,0.4880741238594055
150,4,0.001,0.6758278012275696,0.677890956401825,0.674090564250946
150,4,0.0005,0.6842213273048401,0.6854969263076782,0.6823900938034058
150,4,0.0003,0.7376014590263367,0.7359501719474792,0.7328919172286987
160,1,0.001,0.04334278404712677,0.04376859590411186,0.042216379195451736
160,1,0.0005,0.11822453141212463,0.11829150468111038,0.11735332757234573
160,1,0.0003,0.39361339807510376,0.391825407743454,0.3912968635559082
160,2,0.001,0.1740843802690506,0.1726066768169403,0.17290611565113068
160,2,0.0005,0.30417564511299133,0.30014950037002563,0.3008515536785126
160,2,0.0003,0.5236109495162964,0.5220087170600891,0.5206630229949951
160,4,0.001,0.472252756357193,0.47378748655319214,0.47057342529296875
160,4,0.0005,0.6753363609313965,0.6767967343330383,0.6740432977676392
160,4,0.0003,0.7066617608070374,0.7044009566307068,0.702457070350647
170,1,0.001,0.05185428634285927,0.05206606537103653,0.05036606267094612
170,1,0.0005,0.1573895364999771,0.15698185563087463,0.15693427622318268
170,1,0.0003,0.3828112483024597,0.38259270787239075,0.3792903423309326
170,2,0.001,0.20361247658729553,0.20147979259490967,0.20188367366790771
170,2,0.0005,0.24323135614395142,0.2440667748451233,0.24145479500293732
170,2,0.0003,0.47180965542793274,0.4718553423881531,0.47006869316101074
170,4,0.001,0.6724216938018799,0.6743808388710022,0.6707420349121094
170,4,0.0005,0.5573552846908569,0.5564703345298767,0.5556933283805847
170,4,0.0003,0.6945392489433289,0.6982033848762512,0.6933721303939819
180,1,0.001,0.056089211255311966,0.055888596922159195,0.05480077117681503
180,1,0.0005,0.13555997610092163,0.1347007304430008,0.13306941092014313
180,1,0.0003,0.2909238934516907,0.2902446985244751,0.28988322615623474
180,2,0.001,0.10559888184070587,0.10483019798994064,0.1040356233716011
180,2,0.0005,0.2963882088661194,0.2922202944755554,0.2937958538532257
180,2,0.0003,0.3693583905696869,0.3666447699069977,0.36589550971984863
180,4,0.001,0.6644640564918518,0.6657892465591431,0.6625832915306091
180,4,0.0005,0.48548424243927,0.4861990213394165,0.4837211072444916
180,4,0.0003,0.658401370048523,0.6593418717384338,0.6573721170425415
190,1,0.001,0.03561878576874733,0.03572246804833412,0.03523823618888855
190,1,0.0005,0.1417943686246872,0.1410437971353531,0.14038705825805664
190,1,0.0003,0.30669501423835754,0.30412498116493225,0.30508294701576233
190,2,0.001,0.09599555283784866,0.09674180299043655,0.0962681844830513
190,2,0.0005,0.1906474232673645,0.18937207758426666,0.18803644180297852
190,2,0.0003,0.46183040738105774,0.462524950504303,0.46001100540161133
190,4,0.001,0.487652063369751,0.48957979679107666,0.48668205738067627
190,4,0.0005,0.48182162642478943,0.4832857549190521,0.48054516315460205
190,4,0.0003,0.6869733929634094,0.6870654821395874,0.6810593008995056
200,1,0.001,0.03825416788458824,0.03842134773731232,0.037626106292009354
200,1,0.0005,0.12825274467468262,0.12790343165397644,0.12755683064460754
200,1,0.0003,0.27218034863471985,0.2713613212108612,0.26993006467819214
200,2,0.001,0.12677939236164093,0.12657120823860168,0.12591788172721863
200,2,0.0005,0.19527168571949005,0.19445455074310303,0.19428014755249023
200,2,0.0003,0.3871802091598511,0.38608530163764954,0.38553792238235474
200,4,0.001,0.6720603704452515,0.6737999320030212,0.6704732179641724
200,4,0.0005,0.6703380942344666,0.6715788841247559,0.668053150177002
200,4,0.0003,0.5182710289955139,0.5195834040641785,0.517464280128479
