neurons,layers,lr,train_loss,eval_loss,test_loss
160,2,0.001,0.388560950756073,0.38967737555503845,0.3888322710990906
160,2,0.0005,0.420620858669281,0.4220307171344757,0.4209626615047455
160,2,0.0003,0.5371174812316895,0.5390248894691467,0.5366196632385254
160,4,0.001,0.7117818593978882,0.7142605781555176,0.7105216979980469
160,4,0.0005,0.7181204557418823,0.7207072973251343,0.715773344039917
160,4,0.0003,0.751903772354126,0.7548247575759888,0.7503237128257751
170,1,0.001,0.13806195557117462,0.14068327844142914,0.13767525553703308
170,1,0.0005,0.3129604756832123,0.31399327516555786,0.3128277361392975
170,1,0.0003,0.4467182159423828,0.44531697034835815,0.44770005345344543
170,2,0.001,0.35690850019454956,0.35764867067337036,0.35610321164131165
170,2,0.0005,0.4210348427295685,0.4231707453727722,0.4220561385154724
170,2,0.0003,0.5322272777557373,0.5375021696090698,0.5325703024864197
170,4,0.001,0.546500027179718,0.5475620031356812,0.5469351410865784
170,4,0.0005,0.718246340751648,0.7211307287216187,0.7165111303329468
170,4,0.0003,0.7576958537101746,0.762409508228302,0.7573190331459045
180,1,0.001,0.1362120658159256,0.1386803537607193,0.134927436709404
180,1,0.0005,0.2611141502857208,0.2629794776439667,0.25876563787460327
180,1,0.0003,0.47582975029945374,0.4762444794178009,0.4769617021083832
180,2,0.001,0.32481512427330017,0.3264589309692383,0.32265564799308777
180,2,0.0005,0.4022141396999359,0.4029463827610016,0.40230321884155273
180,2,0.0003,0.5366621017456055,0.5402619242668152,0.5384495258331299
180,4,0.001,0.7111033797264099,0.7142811417579651,0.7097684144973755
180,4,0.0005,0.7138383388519287,0.716897189617157,0.7126988768577576
180,4,0.0003,0.6740655303001404,0.6773917078971863,0.6741081476211548
190,1,0.001,0.10540496557950974,0.10631082952022552,0.1045885682106018
190,1,0.0005,0.25925523042678833,0.26140421628952026,0.25834792852401733
190,1,0.0003,0.4625624120235443,0.4620141088962555,0.4624446928501129
190,2,0.001,0.3232685625553131,0.3251340091228485,0.32334965467453003
190,2,0.0005,0.432089626789093,0.43532440066337585,0.43169429898262024
190,2,0.0003,0.4587175250053406,0.458659291267395,0.45920267701148987
190,4,0.001,0.5472023487091064,0.5492198467254639,0.5487695932388306
190,4,0.0005,0.6314166188240051,0.6342648863792419,0.6310633420944214
190,4,0.0003,0.7163111567497253,0.7180632948875427,0.7135862708091736
200,1,0.001,0.11541584879159927,0.11794306337833405,0.11540581285953522
200,1,0.0005,0.2778376638889313,0.27925312519073486,0.2776879072189331
200,1,0.0003,0.4100132882595062,0.413318932056427,0.41067811846733093
200,2,0.001,0.32576829195022583,0.32733485102653503,0.32761150598526
200,2,0.0005,0.43508923053741455,0.4372856616973877,0.4361272156238556
200,2,0.0003,0.6018257737159729,0.6031768918037415,0.6012819409370422
200,4,0.001,0.6236805319786072,0.6259642839431763,0.6249006986618042
200,4,0.0005,0.5441448092460632,0.5477823615074158,0.5454275012016296
200,4,0.0003,0.7259340882301331,0.729862630367279,0.7244488000869751
