neurons,layers,learn_rate,epochs,hys_score,hys_mse,hys_mape,jou_score,jou_mse,jou_mape,time
120,1,0.0003,100,0.9949841046183576,0.004889190325969902,1.5787195148166653,0.9904155634545843,0.009352990115292387,0.3102301060159244,2026-03-21 18:21:44.458706
120,2,0.001,100,0.9975590151072846,0.0023793238923964745,0.8098462929619574,0.9949639571218803,0.004914431749435589,0.19913405821326327,2026-03-21 18:22:17.524462
120,2,0.0005,100,0.997185121425333,0.0027437727561885157,1.1900461985974575,0.994549726590049,0.005318659379438911,0.20683377441598308,2026-03-21 18:22:50.776072
120,2,0.0003,100,0.9961854950122125,0.0037181479009532176,0.8197319592168991,0.9919973683273688,0.007809382906942583,0.2967202662012708,2026-03-21 18:23:23.425457
120,4,0.001,100,0.9973909038821904,0.0025431885093551115,1.2668917057041342,0.9956290957974033,0.004265354943721772,0.214724862548343,2026-03-21 18:24:00.600500
120,4,0.0005,100,0.9973655426767385,0.0025679090728669587,0.44454281035828636,0.9948534615924362,0.0050222590160441715,0.24230755909455048,2026-03-21 18:24:39.000919
120,4,0.0003,100,0.9962296659454895,0.0036750927566101188,0.9442375162121582,0.9890435504573001,0.01069187153423081,0.3572125347856606,2026-03-21 18:25:27.186871
130,1,0.001,100,0.9964491839028273,0.0034611199777277554,0.600527307716794,0.9933264092716902,0.006512435845302066,0.2842413765516197,2026-03-21 18:25:57.231631
130,1,0.0005,100,0.9958186565833737,0.0040757197323030665,0.6180790533750546,0.991818611532261,0.007983823055798714,0.28073322418816266,2026-03-21 18:26:28.846853
130,1,0.0003,100,0.994679925474807,0.005185685689779246,1.0545368127573853,0.9898677737305421,0.009887551729837773,0.3280221404490057,2026-03-21 18:26:58.749636
130,2,0.001,100,0.9970333422984148,0.002891717835292118,0.4306687336382485,0.9951240745174748,0.004758180893040943,0.1710473104234004,2026-03-21 18:27:31.196606
130,2,0.0005,100,0.9967359676815533,0.0031815805595565745,0.8036211092885703,0.9945420535778132,0.005326147102609228,0.23896927134991844,2026-03-21 18:28:03.170436
130,2,0.0003,100,0.9965608476090226,0.0033522769755211733,0.827104149119023,0.9933959784949208,0.006444546590245558,0.24758886195744503,2026-03-21 18:28:35.159447
130,4,0.001,100,0.9971016349550043,0.002825150299383349,1.233023381040329,0.9950127164906948,0.004866849829268597,0.1872912449968592,2026-03-21 18:29:23.799895
130,4,0.0005,100,0.9973081665167696,0.002623835870560522,0.4240221454071605,0.9952676079082325,0.004618113568414206,0.2116080950044212,2026-03-21 18:30:03.384647
130,4,0.0003,100,0.996662506721458,0.003253185843978788,0.6258917396969024,0.9945322245351611,0.005335738792045876,0.25326487395197905,2026-03-21 18:30:40.701391
140,1,0.001,100,0.9966018636382574,0.0033122970401185965,0.4089735440082749,0.9936283383545982,0.006217797791768431,0.2503267584536684,2026-03-21 18:31:09.845885
140,1,0.0005,100,0.9956639735574132,0.004226495355910616,1.170949799126126,0.9916228851620998,0.008174822995831228,0.2825994054309973,2026-03-21 18:31:41.194230
140,1,0.0003,100,0.994906790179955,0.004964551747119027,0.8184573696650013,0.9898947295780315,0.009861246816249745,0.3057500631918986,2026-03-21 18:32:11.792770
140,2,0.001,100,0.9976236330787517,0.002316338216471714,0.4140096592196776,0.9953560781266856,0.004531779742239994,0.2324309705095142,2026-03-21 18:32:50.442232
140,2,0.0005,100,0.9973784351349825,0.0025553422872128004,0.36442859853391385,0.9947467254829122,0.00512641764577602,0.2606361473261712,2026-03-21 18:33:44.102362
140,2,0.0003,100,0.9965208265582802,0.0033912870662900587,1.0761467648635041,0.9940598755322425,0.005796681439465073,0.23376347809307443,2026-03-21 18:34:22.445398
140,4,0.001,100,0.997522121263164,0.002415285771988859,0.3781281368635938,0.9947562365738755,0.005117136230082569,0.2831967566449278,2026-03-21 18:35:12.429655
140,4,0.0005,100,0.9967798301852893,0.0031388260536066026,0.893729164466047,0.9946341708568024,0.005236254285670992,0.28062109805285423,2026-03-21 18:36:06.893671
140,4,0.0003,100,0.996158688499811,0.0037442772619415057,1.1847413394691881,0.9916120061340964,0.008185439315413304,0.3205707410379701,2026-03-21 18:36:50.553300
150,1,0.001,100,0.9962765026436964,0.0036294391864395443,1.0971894160901041,0.9929238649321093,0.006905259483001286,0.3227033977963425,2026-03-21 18:37:44.553745
150,1,0.0005,100,0.9955969036017245,0.004291871077205871,0.4611874045373384,0.9919100199284427,0.00789462200345818,0.2786795868244077,2026-03-21 18:38:15.708545
150,1,0.0003,100,0.9951207482600579,0.004755998399050705,0.5216784346595746,0.9909745922487262,0.008807460833419866,0.2976823915376794,2026-03-21 18:39:04.236767
150,2,0.001,100,0.9969790369257694,0.002944651415916198,0.9168731259763202,0.994959521964528,0.004918759805934298,0.2177058961726906,2026-03-21 18:39:39.161036
150,2,0.0005,100,0.996871997654603,0.0030489867995848532,0.902710068855704,0.9932122793172772,0.006623809772233,0.2306294180622504,2026-03-21 18:40:29.655254
150,2,0.0003,100,0.9966899005082654,0.0032264840435502233,1.307837742818248,0.9937893019697885,0.006060721150417331,0.21865465731566172,2026-03-21 18:41:08.391888
150,4,0.001,100,0.9976736912460209,0.002267544553819971,0.5491142219263456,0.9958336990514071,0.004065692480186677,0.2163785128044589,2026-03-21 18:42:02.538081
150,4,0.0005,100,0.9978546667865912,0.0020911405830688783,0.5138714080164087,0.9955862930432327,0.0043071240904805465,0.21143083295914253,2026-03-21 18:42:50.933100
150,4,0.0003,100,0.9965265858273984,0.0033856732803725013,0.7547539488982058,0.9937211721734113,0.006127205738118814,0.26214203838569694,2026-03-21 18:43:39.135326
